rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
1,10233450,ディオール,ディオールスキン フォーエヴァー スキン コレクト コンシーラー,コンシーラー,5.6,8450,67622,"11ml・5,720円",2023/3/17 (2024/3/1追加発売),https://www.cosme.net/products/10233450/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10233450?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10233/skuimg-d_78720.jpg,data/cosme_concealer_ranking_20260616/images/001_10233450.jpg
2,10245097,tfit,カバーアッププロコンシーラー,コンシーラー,5.0,2392,15421,"15g・1,650円",2023/9/15 (2024/10/12追加発売),https://www.cosme.net/products/10245097/,https://www.cosme.com/products/detail.php?product_id=309382,https://cache-cdn.cosme.net/media/product/10245/skuimg_963447.jpg,data/cosme_concealer_ranking_20260616/images/002_10245097.jpg
3,10261108,M・A・C,スタジオ ラディアンス 24 ルミナス コンシーラー,コンシーラー,5.5,1440,9023,"11mL・4,510円",2024/9/13,https://www.cosme.net/products/10261108/,https://www.cosme.com/products/detail.php?product_id=341388,https://cache-cdn.cosme.net/media/product/10261/skuimg_994481.jpg,data/cosme_concealer_ranking_20260616/images/003_10261108.jpg
4,10292579,M・A・C,スタジオ フィックス 24 カラー コレクター,コンシーラー,5.3,152,1162,"1.8ml・2,640円",2026/3/6,https://www.cosme.net/products/10292579/,https://www.cosme.com/products/detail.php?product_id=402066,https://cache-cdn.cosme.net/media/product/10292/skuimg_1096039.jpg,data/cosme_concealer_ranking_20260616/images/004_10292579.jpg
5,10204445,コスメデコルテ,トーンパーフェクティング パレット,コンシーラー,5.4,4240,33212,"5g・5,170円",2021/3/16 (2022/8/21追加発売),https://www.cosme.net/products/10204445/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10204445?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10204/skuimg-d_25808.jpg,data/cosme_concealer_ranking_20260616/images/005_10204445.jpg
6,10239433,セザンヌ,描くアイゾーンコンシーラー,コンシーラー,4.8,2040,8253,660円,2023/7/14 (2025/3/3追加発売),https://www.cosme.net/products/10239433/,https://www.cosme.com/products/detail.php?product_id=300219,https://cache-cdn.cosme.net/media/product/10239/skuimg-d_90426.jpg,data/cosme_concealer_ranking_20260616/images/006_10239433.jpg
7,10285994,SHIRORU,ブライトコンシーラーパレット,コンシーラー,5.3,153,2239,"3,300円",2026/2/22,https://www.cosme.net/products/10285994/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10285994?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10285/skuimg_1076215.jpg,data/cosme_concealer_ranking_20260616/images/007_10285994.jpg
8,10284891,セザンヌ,ブライトカラーシーラー,コンシーラー,4.9,228,1913,748円,2025/12/2 (2026/8/7追加発売),https://www.cosme.net/products/10284891/,https://www.cosme.com/products/detail.php?product_id=355774,https://cache-cdn.cosme.net/media/product/10284/skuimg_1117608.jpg,data/cosme_concealer_ranking_20260616/images/008_10284891.jpg
9,10233381,KANEBO,カネボウ デザイニングカラーリクイド,コンシーラー,5.0,3357,22820,"3,630円",2023/2/10 (2025/1/17追加発売),https://www.cosme.net/products/10233381/,https://www.cosme.com/products/detail.php?product_id=284074,https://cache-cdn.cosme.net/media/product/10233/skuimg_1007664.jpg,data/cosme_concealer_ranking_20260616/images/009_10233381.jpg
10,10190578,セザンヌ,毛穴レスコンシーラー,コンシーラー,4.5,2429,10228,715円,2020/4/14 (2026/3/4追加発売),https://www.cosme.net/products/10190578/,https://www.cosme.com/products/detail.php?product_id=190031,https://cache-cdn.cosme.net/media/product/10190/skuimg_752816.jpg,data/cosme_concealer_ranking_20260616/images/010_10190578.jpg
11,10276759,エクセル,エシリアル セラムコンシーラー,リキッドファンデーション / コンシーラー,4.9,583,5363,"1,760円",2025/8/19,https://www.cosme.net/products/10276759/,https://www.cosme.com/products/detail.php?product_id=377405,https://cache-cdn.cosme.net/media/product/10276/skuimg_1049246.jpg,data/cosme_concealer_ranking_20260616/images/011_10276759.jpg
12,10277713,ブリリアージュ,カモフラージュ コンシーラーチーク,コンシーラー,5.1,329,5992,"4,400円",2025/7/25 (2025/11/10追加発売),https://www.cosme.net/products/10277713/,https://www.cosme.com/products/detail.php?product_id=395236,https://cache-cdn.cosme.net/media/product/10277/skuimg_1052798.jpg,data/cosme_concealer_ranking_20260616/images/012_10277713.jpg
13,10267340,ポール ＆ ジョー,コンシーラー,コンシーラー,5.0,393,3300,"11g・2,860円",2025/3/1 (2026/3/1追加発売),https://www.cosme.net/products/10267340/,https://www.cosme.com/products/detail.php?product_id=356446,https://cache-cdn.cosme.net/media/product/10267/skuimg_1083419.jpg,data/cosme_concealer_ranking_20260616/images/013_10267340.jpg
