rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
1,10248076,コスメデコルテ,ルース パウダー,ルースパウダー,5.6,10959,91727,"6g（限定品）・3,300円 / 7g（限定品）・3,300円 / 16g・6,270円 / 20g・6,270円",2024/1/16 (2026/4/21追加発売),https://www.cosme.net/products/10248076/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10248076?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10248/skuimg_947990.jpg,data/cosme_face_powder_ranking_20260616/images/001_10248076.jpg
2,10054624,NARS,ライトリフレクティングセッティングパウダー プレスト N,プレストパウダー,5.5,19662,124873,"3g・3,190円 / 9g・6,490円 / 10g・6,490円",2013/2/15 (2026/6/12追加発売) NEW,https://www.cosme.net/products/10054624/,https://www.cosme.com/products/detail.php?product_id=173354,https://cache-cdn.cosme.net/media/product/10054/skuimg_1106205.jpg,data/cosme_face_powder_ranking_20260616/images/002_10054624.jpg
3,10268965,クレ・ド・ポー ボーテ,プードルトランスパラントｎ Ｍ,ルースパウダー,5.9,1682,21054,"8g・6,930円 / 24g(レフィル)・9,900円 / 24g・13,200円 / -・1,100円",2025/3/21 (2026/3/21追加発売),https://www.cosme.net/products/10268965/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10268965?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10268/skuimg_1022503.jpg,data/cosme_face_powder_ranking_20260616/images/003_10268965.jpg
4,10275521,セザンヌ,トーンフィルターハイライト,プレストパウダー,4.7,1231,16049,693円,2025/8/1 (2026/3/4追加発売),https://www.cosme.net/products/10275521/,https://www.cosme.com/products/detail.php?product_id=379135,https://cache-cdn.cosme.net/media/product/10275/skuimg_1091113.jpg,data/cosme_face_powder_ranking_20260616/images/004_10275521.jpg
5,10013577,エレガンス,ラ プードル オートニュアンス,プレストパウダー,5.9,7260,67351,"8.8g・13,200円",2010/11/18 (2026/6/1追加発売) NEW,https://www.cosme.net/products/10013577/,https://www.cosme.com/products/detail.php?product_id=194849,https://cache-cdn.cosme.net/media/product/10013/skuimg_1107598.jpg,data/cosme_face_powder_ranking_20260616/images/005_10013577.jpg
6,10276467,SHISEIDO,エッセンス スキンセッティング パウダー,ルースパウダー,5.3,2052,26616,"7g・5,500円",2025/9/1 (2026/7/1追加発売),https://www.cosme.net/products/10276467/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10276467?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10276/skuimg_1047391.jpg,data/cosme_face_powder_ranking_20260616/images/006_10276467.jpg
7,10223795,NARS,ライトリフレクティング プリズマティックパウダー,プレストパウダー,5.6,4531,38139,"10g・6,160円 / 10g・6,380円 / 10g・6,490円",2022/7/8 (2026/7/17追加発売),https://www.cosme.net/products/10223795/,https://www.cosme.com/products/detail.php?product_id=363724,https://cache-cdn.cosme.net/media/product/10223/skuimg_1095414.jpg,data/cosme_face_powder_ranking_20260616/images/007_10223795.jpg
8,10266097,SHISEIDO,ベネフィアンス ブライトニング スキンケアパウダー,その他スキンケア / プレストパウダー,5.7,979,9324,"25g・5,280円",2025/2/1,https://www.cosme.net/products/10266097/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10266097?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10266/skuimg_1012672.jpg,data/cosme_face_powder_ranking_20260616/images/008_10266097.jpg
9,10251401,クレ・ド・ポー ボーテ,プードルコンパクトエサンシエルｎ,プレストパウダー,5.7,3341,42776,"1枚(パフ)・880円 / 5g(レフィル)・8,800円 / 5g・12,100円 / 5g(エレガントスリム)・22,000円",2024/3/21,https://www.cosme.net/products/10251401/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10251401?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10251/skuimg_960000.jpg,data/cosme_face_powder_ranking_20260616/images/009_10251401.jpg
10,10258100,ジバンシイ,プリズム・リーブル,ルースパウダー,5.4,5694,19981,"2.5gx4・8,360円 / 2.5g×4・8,360円 / 4x0.75g・4,620円",2024/9/6 (2026/1/2追加発売),https://www.cosme.net/products/10258100/,https://www.cosme.com/products/detail.php?product_id=337082,https://cache-cdn.cosme.net/media/product/10258/skuimg_987160.jpg,data/cosme_face_powder_ranking_20260616/images/010_10258100.jpg
