rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
1,10251452,コーセーコスメニエンス,メイク キープ ミスト EX ＋,ミスト状化粧水,5.3,5676,24861,"35ml・946円 / 80ml・1,430円 (編集部調べ)",2024/2/16,https://www.cosme.net/products/10251452/,https://www.cosme.com/products/detail.php?product_id=319930,https://cache-cdn.cosme.net/media/product/10251/skuimg_958918.jpg,data/cosme_fix_mist_ranking_20260616/images/001_10251452.jpg
2,10290874,コーセーコスメニエンス,メイク キープ ミスト EX ＋ 超COOL,,5.2,344,2077,"80ml・1,430円 (編集部調べ)",2026/4/16,https://www.cosme.net/products/10290874/,https://www.cosme.com/products/detail.php?product_id=401480,https://cache-cdn.cosme.net/media/product/10290/skuimg_1098493.jpg,data/cosme_fix_mist_ranking_20260616/images/002_10290874.jpg
3,10201778,d プログラム,アレルバリア ミスト Ｎ,ミスト状化粧水 / その他スキンケア,5.1,4635,31567,"57ml・1,650円",2021/1/21,https://www.cosme.net/products/10201778/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10201778?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10201/skuimg-d_21866.jpg,data/cosme_fix_mist_ranking_20260616/images/003_10201778.jpg
4,10291682,コスメデコルテ,コンフォート デイミスト メイクアップ フィックス,,5.5,179,1578,"60mL・3,960円",2026/4/16,https://www.cosme.net/products/10291682/,https://www.cosme.com/products/detail.php?product_id=400788,https://cache-cdn.cosme.net/media/product/10291/skuimg_1093387.jpg,data/cosme_fix_mist_ranking_20260616/images/004_10291682.jpg
5,10237201,Chacott COSMETICS(チャコット・コスメティクス),フィニッシングキープミスト クール,ミスト状化粧水,4.9,811,5492,"50ml・1,320円",2023/4/7 (2025/4/4追加発売),https://www.cosme.net/products/10237201/,https://www.cosme.com/products/detail.php?product_id=402036,https://cache-cdn.cosme.net/media/product/10237/skuimg-d_86094.jpg,data/cosme_fix_mist_ranking_20260616/images/005_10237201.jpg
6,10255710,クラランス,フィックス メイクアップ N,ミスト状化粧水,5.6,2204,15398,"15ml・1,760円 / 50mL・5,060円 / 50ｍL・5,060円",2024/7/5 (2026/2/6追加発売),https://www.cosme.net/products/10255710/,https://www.cosme.com/products/detail.php?product_id=331952,https://cache-cdn.cosme.net/media/product/10255/skuimg_1082725.jpg,data/cosme_fix_mist_ranking_20260616/images/006_10255710.jpg
7,10298255,ディオール,バックステージ エアーフラッシュ ミスト,,5.5,96,750,"100mL・5,830円",2026/5/29 NEW,https://www.cosme.net/products/10298255/,https://www.cosme.com/products/detail.php?product_id=413885,https://cache-cdn.cosme.net/media/product/10298/skuimg_1115101.jpg,data/cosme_fix_mist_ranking_20260616/images/007_10298255.jpg
8,10288231,コーセーコスメニエンス,メイク キープ ミスト ＥＸ ＋ 無香料,,5.5,316,1284,"80mL・1,430円 (編集部調べ)",2026/1/16,https://www.cosme.net/products/10288231/,,https://cache-cdn.cosme.net/media/product/10288/skuimg_1082282.jpg,data/cosme_fix_mist_ranking_20260616/images/008_10288231.jpg
9,10238534,vim BEAUTY(ヴィム ビューティー),keep confidence mist,ミスト状化粧水,5.2,456,5923,"80ml・1,650円",2023/4/14,https://www.cosme.net/products/10238534/,,https://cache-cdn.cosme.net/media/product/10238/skuimg-d_89021.jpg,data/cosme_fix_mist_ranking_20260616/images/009_10238534.jpg
10,10194550,コスメデコルテ,コンフォート デイミスト セット＆プロテクト,ミスト状化粧水,5.4,3175,22327,"60ml・3,520円",2020/6/16,https://www.cosme.net/products/10194550/,https://www.cosme.com/products/detail.php?product_id=241174,https://cache-cdn.cosme.net/media/product/10194/skuimg_882670.jpg,data/cosme_fix_mist_ranking_20260616/images/010_10194550.jpg
