rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
1,10290890,ディオール,ディオール フォーエヴァー フルイド スキン グロウ,リキッドファンデーション,5.6,1843,10786,"30mL・8,030円",2026/2/27,https://www.cosme.net/products/10290890/,https://www.cosme.com/products/detail.php?product_id=400674,https://cache-cdn.cosme.net/media/product/10290/skuimg_1090861.jpg,outputs/cosme_foundation_ranking_20260616/images/001_10290890.jpg
2,10268836,SK-II,ジェノプティクス CC プライマー,日焼け止め・UVケア(顔用) / 化粧下地 / CCクリーム,5.6,3316,37094,"30g・9,900円 / 50g・14,850円 (編集部調べ)",2025/4/20 (2026/6/5追加発売) NEW,https://www.cosme.net/products/10268836/,https://www.cosme.com/products/detail.php?product_id=362684,https://cache-cdn.cosme.net/media/product/10268/skuimg_1114407.jpg,outputs/cosme_foundation_ranking_20260616/images/002_10268836.jpg
3,10289744,エスティ ローダー,ダブル ウェア ステイ イン プレイス メークアップ N,リキッドファンデーション,5.0,1783,8522,"5ml・1,100円 / 15ml・3,960円 / 30ml・7,590円",2026/3/6,https://www.cosme.net/products/10289744/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10289744?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10289/skuimg_1087449.jpg,outputs/cosme_foundation_ranking_20260616/images/003_10289744.jpg
4,10288259,コスメデコルテ,ゼン ウェア ステイ,リキッドファンデーション,5.5,844,9484,"30mL・7,700円",2026/2/16,https://www.cosme.net/products/10288259/,https://www.cosme.com/products/detail.php?product_id=393281,https://cache-cdn.cosme.net/media/product/10288/skuimg_1082284.jpg,outputs/cosme_foundation_ranking_20260616/images/004_10288259.jpg
5,10234175,コスメデコルテ,サンシェルター マルチ プロテクション トーンアップCC,日焼け止め・UVケア(顔用) / 化粧下地 / CCクリーム,5.3,11029,93378,"35g・3,520円",2023/2/16,https://www.cosme.net/products/10234175/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10234175?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10234/skuimg-d_80383.jpg,outputs/cosme_foundation_ranking_20260616/images/005_10234175.jpg
6,10288282,クラランス,ダブル セーラム ファンデーション,リキッドファンデーション,5.5,1093,3393,"30mL・9,900円",2026/3/6,https://www.cosme.net/products/10288282/,https://www.cosme.com/products/detail.php?product_id=397364,https://cache-cdn.cosme.net/media/product/10288/skuimg_1086549.jpg,outputs/cosme_foundation_ranking_20260616/images/006_10288282.jpg
7,10240900,SHISEIDO,エッセンス スキングロウ ファンデーション,リキッドファンデーション,5.4,7196,70008,"30ml(レフィル)・7,040円 / 30ml・7,590円",2023/9/1,https://www.cosme.net/products/10240900/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10240900?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10240/skuimg-d_93669.jpg,outputs/cosme_foundation_ranking_20260616/images/007_10240900.jpg
8,10289869,コスメデコルテ,UV コンフォート トーンアップCC,CCクリーム,5.1,574,9617,"30mL・4,950円",2026/2/16,https://www.cosme.net/products/10289869/,https://www.cosme.com/products/detail.php?product_id=398148,https://cache-cdn.cosme.net/media/product/10289/skuimg_1086830.jpg,outputs/cosme_foundation_ranking_20260616/images/008_10289869.jpg
9,10267502,マキアージュ,エッセンスリキッド ＥＸ,リキッドファンデーション,5.2,2611,19056,"24mL(レフィル)・3,520円 / 24mL・3,740円 (編集部調べ)",2025/2/21,https://www.cosme.net/products/10267502/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10267502?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10267/skuimg_1017315.jpg,outputs/cosme_foundation_ranking_20260616/images/009_10267502.jpg
10,10289631,マキアージュ,エッセンスリキッド ＥＸ ブライトグロウ,リキッドファンデーション,5.1,429,5124,"24mL（レフィル）・3,740円 / 24mL・3,960円 (編集部調べ)",2026/2/21,https://www.cosme.net/products/10289631/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10289631?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10289/skuimg_1085523.jpg,outputs/cosme_foundation_ranking_20260616/images/010_10289631.jpg
11,10285810,SUQQU(スック),ザ リクイド ファンデーション e,リキッドファンデーション,5.5,649,8269,"30ml・11,000円",2026/2/6,https://www.cosme.net/products/10285810/,https://www.cosme.com/products/detail.php?product_id=398896,https://cache-cdn.cosme.net/media/product/10285/skuimg_1076515.jpg,outputs/cosme_foundation_ranking_20260616/images/011_10285810.jpg
12,10285915,KANEBO,カネボウ メルティフィール ウェアII,パウダーファンデーション,5.3,383,6224,"11ｇ・5,500円",2026/2/13,https://www.cosme.net/products/10285915/,https://www.cosme.com/products/detail.php?product_id=397350,https://cache-cdn.cosme.net/media/product/10285/skuimg_1075726.jpg,outputs/cosme_foundation_ranking_20260616/images/012_10285915.jpg
13,10234122,クレ・ド・ポー ボーテ,タンクッションエクラ ルミヌ,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.7,3183,42551,"1セット・11,550円 / 15g(レフィル)・8,030円 / -・3,520円 / ケース・3,520円",2023/3/21 (2026/1/21追加発売),https://www.cosme.net/products/10234122/,https://www.cosme.com/products/detail.php?product_id=289327,https://cache-cdn.cosme.net/media/product/10234/skuimg_899886.jpg,outputs/cosme_foundation_ranking_20260616/images/013_10234122.jpg
14,10266281,NARS,ライトリフレクティング セラムクッションファンデーション,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.5,2267,27230,"1個(ケース)・2,640円 / 11g・5,940円",2025/2/14,https://www.cosme.net/products/10266281/,https://www.cosme.com/products/detail.php?product_id=357726,https://cache-cdn.cosme.net/media/product/10266/skuimg_1015337.jpg,outputs/cosme_foundation_ranking_20260616/images/014_10266281.jpg
15,10291810,セザンヌ,セラムクッションファンデーション,クッションファンデ,5.1,176,4159,"11g・1,155円",2026/6/2 NEW,https://www.cosme.net/products/10291810/,https://www.cosme.com/products/detail.php?product_id=408584,https://cache-cdn.cosme.net/media/product/10291/skuimg_1092985.jpg,outputs/cosme_foundation_ranking_20260616/images/015_10291810.jpg
16,10247953,ランコム,タンイドル ウルトラ ウェア リキッド N,リキッドファンデーション,5.7,5741,29013,"30ml・7,920円",2024/2/9,https://www.cosme.net/products/10247953/,https://www.cosme.com/products/detail.php?product_id=322450,https://cache-cdn.cosme.net/media/product/10247/skuimg_948234.jpg,outputs/cosme_foundation_ranking_20260616/images/016_10247953.jpg
17,10288272,ポール ＆ ジョー,プロテクティング ヴェール コンパクト,化粧下地 / クッションファンデ,5.1,381,5003,"12g・4,400円 / -・550円 / -・1,650円",2026/3/1,https://www.cosme.net/products/10288272/,https://www.cosme.com/products/detail.php?product_id=400396,https://cache-cdn.cosme.net/media/product/10288/skuimg_1083325.jpg,outputs/cosme_foundation_ranking_20260616/images/017_10288272.jpg
