rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
1,10188648,クレ・ド・ポー ボーテ,ヴォワールコレクチュールｎ,化粧下地,5.8,20456,141820,"40g・8,250円",2020/3/21 (2024/8/21追加発売),https://www.cosme.net/products/10188648/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10188648?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10188/skuimg_992981.jpg,data/cosme_makeup_base_ranking_20260616/images/001_10188648.jpg
2,10268836,SK-II,ジェノプティクス CC プライマー,日焼け止め・UVケア(顔用) / 化粧下地 / CCクリーム,5.6,3317,37100,"30g・9,900円 / 50g・14,850円 (編集部調べ)",2025/4/20 (2026/6/5追加発売) NEW,https://www.cosme.net/products/10268836/,https://www.cosme.com/products/detail.php?product_id=362684,https://cache-cdn.cosme.net/media/product/10268/skuimg_1114407.jpg,data/cosme_makeup_base_ranking_20260616/images/002_10268836.jpg
3,10276493,KANEBO,カネボウ クリーム イン デイII,フェイスクリーム / 日焼け止め・UVケア(顔用) / 化粧下地,5.8,3201,23667,"20g・4,950円 / 40g・9,350円",2025/9/5 (2025/11/7追加発売),https://www.cosme.net/products/10276493/,https://www.cosme.com/products/detail.php?product_id=374876,https://cache-cdn.cosme.net/media/product/10276/skuimg_1047393.jpg,data/cosme_makeup_base_ranking_20260616/images/003_10276493.jpg
4,10288945,アネッサ,パーフェクトＵＶ スキンケアジェル ＮＢ,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,5.2,1451,12633,"40g・1,496円 / 90g・2,508円 (編集部調べ)",2026/2/21,https://www.cosme.net/products/10288945/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10288945?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10288/skuimg_1082596.jpg,data/cosme_makeup_base_ranking_20260616/images/004_10288945.jpg
5,10289633,エリクシール,エリクシール デーケアレボリューション トーンアップ BE＋ ca,乳液 / 日焼け止め・UVケア(顔用) / 化粧下地,5.2,1450,12217,"35g・3,410円 (編集部調べ)",2026/3/21,https://www.cosme.net/products/10289633/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10289633?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10289/skuimg_1087769.jpg,data/cosme_makeup_base_ranking_20260616/images/005_10289633.jpg
6,10264930,アスタリフト,D-UVシールド トーンアップ,日焼け止め・UVケア(顔用) / 化粧下地,5.2,2720,18087,"30g・4,290円",2025/2/28,https://www.cosme.net/products/10264930/,https://www.cosme.com/products/detail.php?product_id=353550,https://cache-cdn.cosme.net/media/product/10264/skuimg_1008542.jpg,data/cosme_makeup_base_ranking_20260616/images/006_10264930.jpg
7,10265318,ラ ロッシュ ポゼ,UVイデア XL プロテクショントーンアップ ローズ+,乳液 / 日焼け止め・UVケア(顔用) / 化粧下地,5.3,4037,35585,"30mL・3,960円",2025/2/13,https://www.cosme.net/products/10265318/,https://www.cosme.com/products/detail.php?product_id=358452,https://cache-cdn.cosme.net/media/product/10265/skuimg_1093657.jpg,data/cosme_makeup_base_ranking_20260616/images/007_10265318.jpg
8,10234175,コスメデコルテ,サンシェルター マルチ プロテクション トーンアップCC,日焼け止め・UVケア(顔用) / 化粧下地 / CCクリーム,5.3,11031,93375,"35g・3,520円",2023/2/16,https://www.cosme.net/products/10234175/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10234175?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10234/skuimg-d_80383.jpg,data/cosme_makeup_base_ranking_20260616/images/008_10234175.jpg
9,10267574,エリクシール,エリクシール デーケアレボリューション ブライトニング ＋ ba,乳液 / 日焼け止め・UVケア(顔用) / 化粧下地,5.5,3754,34267,"35ml・3,740円 (編集部調べ)",2025/3/21,https://www.cosme.net/products/10267574/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10267574?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10267/skuimg_1020628.jpg,data/cosme_makeup_base_ranking_20260616/images/009_10267574.jpg
10,10289177,エレガンス,モデリング カラーベース UV,化粧下地,5.4,430,8282,"30g・5,500円",2026/2/17,https://www.cosme.net/products/10289177/,https://www.cosme.com/products/detail.php?product_id=405586,https://cache-cdn.cosme.net/media/product/10289/skuimg_1092873.jpg,data/cosme_makeup_base_ranking_20260616/images/010_10289177.jpg
11,10217043,アリィー(ALLIE),アリィー クロノビューティ ジェルUV EX,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,5.3,4931,77409,"40g・1,155円 / 90g・2,310円 / 90ｇ・2,310円 (編集部調べ)",2022/2/12 (2026/3/21追加発売),https://www.cosme.net/products/10217043/,https://www.cosme.com/products/detail.php?product_id=252986,https://cache-cdn.cosme.net/media/product/10217/skuimg-d_48193.jpg,data/cosme_makeup_base_ranking_20260616/images/011_10217043.jpg
12,10289659,ナリスアップ,by365 パウダリーＵＶクリーム,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,5.4,616,3564,"60g・1,089円 (編集部調べ)",2026/2/10,https://www.cosme.net/products/10289659/,https://www.cosme.com/products/detail.php?product_id=400234,https://cache-cdn.cosme.net/media/product/10289/skuimg_1085512.jpg,data/cosme_makeup_base_ranking_20260616/images/012_10289659.jpg
13,10211607,ボビイ ブラウン,インテンシブ セラム ラディアンス プライマー,化粧下地,5.4,2630,12757,"15ml・3,850円 / 40mL・7,370円 / 40ml・7,370円",2021/9/3 (2025/9/5追加発売),https://www.cosme.net/products/10211607/,https://www.cosme.com/products/detail.php?product_id=299059,https://cache-cdn.cosme.net/media/product/10211/skuimg_922581.jpg,data/cosme_makeup_base_ranking_20260616/images/013_10211607.jpg
14,10267338,ポール ＆ ジョー,プロテクティング プライマー,日焼け止め・UVケア(顔用) / 化粧下地,5.4,2813,32524,"15ml・2,200円 / 30ml・4,070円",2025/3/1 (2026/3/1追加発売),https://www.cosme.net/products/10267338/,https://www.cosme.com/products/detail.php?product_id=356452,https://cache-cdn.cosme.net/media/product/10267/skuimg_1017858.jpg,data/cosme_makeup_base_ranking_20260616/images/014_10267338.jpg
15,10288016,アリィー(ALLIE),クロノビューティ フラットスムースフィルターＵＶ,日焼け止め・UVケア(顔用) / 化粧下地,5.0,971,10957,"30ｇ・2,178円 (編集部調べ)",2026/1/31,https://www.cosme.net/products/10288016/,https://www.cosme.com/products/detail.php?product_id=397152,https://cache-cdn.cosme.net/media/product/10288/skuimg_1081189.jpg,data/cosme_makeup_base_ranking_20260616/images/015_10288016.jpg
16,10250406,エリクシール,エリクシール デーケアレボリューション トーンアップ SP＋ aa,乳液 / 日焼け止め・UVケア(顔用) / 化粧下地,5.2,4828,39842,"35g・3,410円 (編集部調べ)",2024/2/21,https://www.cosme.net/products/10250406/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10250406?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10250/skuimg_1091796.jpg,data/cosme_makeup_base_ranking_20260616/images/016_10250406.jpg
17,10289165,アルビオン,アルビオン S-UV カット リンクル イルミネイティング デイクリーム,フェイスクリーム / 日焼け止め・UVケア(顔用) / 化粧下地,5.7,314,11682,"50g・11,000円",2026/2/17,https://www.cosme.net/products/10289165/,https://www.cosme.com/products/detail.php?product_id=405310,https://cache-cdn.cosme.net/media/product/10289/skuimg_1083827.jpg,data/cosme_makeup_base_ranking_20260616/images/017_10289165.jpg
18,10250520,アネッサ,パーフェクトＵＶ スキンケアミルク ＮＡ,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,5.6,3043,14677,"60mL・3,058円 (編集部調べ)",2024/2/21,https://www.cosme.net/products/10250520/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10250520?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10250/skuimg_955784.jpg,data/cosme_makeup_base_ranking_20260616/images/018_10250520.jpg
19,10287190,ジバンシイ,プリズム・リーブル・ケア＆カラー・セラム・プライマー,美容液 / 化粧下地,5.5,1329,8196,"30mL・7,700円",2026/2/1,https://www.cosme.net/products/10287190/,https://www.cosme.com/products/detail.php?product_id=396356,https://cache-cdn.cosme.net/media/product/10287/skuimg_1079882.jpg,data/cosme_makeup_base_ranking_20260616/images/019_10287190.jpg
20,10218110,d'Alba(ダルバ),ウォータフルトーンアップサンクリーム,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,5.3,5967,26573,"50ml・2,860円",2021/8/11,https://www.cosme.net/products/10218110/,https://www.cosme.com/products/detail.php?product_id=324004,https://cache-cdn.cosme.net/media/product/10218/skuimg_966371.jpg,data/cosme_makeup_base_ranking_20260616/images/020_10218110.jpg
21,10289658,ナリスアップ,by365 パウダリーUVジェル,日焼け止め・UVケア(顔用) / 日焼け止め・UVケア(ボディ用) / 化粧下地,5.3,488,3034,"70g・1,089円 (編集部調べ)",2026/2/10,https://www.cosme.net/products/10289658/,https://www.cosme.com/products/detail.php?product_id=400236,https://cache-cdn.cosme.net/media/product/10289/skuimg_1085510.jpg,data/cosme_makeup_base_ranking_20260616/images/021_10289658.jpg
